fold,train_size,test_size,test_start,test_end,return_pct,sharpe,max_dd,win_rate,profit_factor,total_trades
1,1574,1665,2026-02-12 23:00:00+00:00,2026-03-11 02:30:00+00:00,0.0,inf,,,,0
2,3239,1665,2026-03-11 02:45:00+00:00,2026-04-07 05:00:00+00:00,0.0,inf,,,,0
3,4904,1665,2026-04-07 05:15:00+00:00,2026-05-01 07:15:00+00:00,0.0,inf,,,,0
4,6569,1665,2026-05-01 07:30:00+00:00,2026-05-27 12:00:00+00:00,0.0,inf,,,,0
5,8234,1665,2026-05-27 12:15:00+00:00,2026-06-22 18:15:00+00:00,0.0,inf,,,,0
