fold,train_size,test_size,test_start,test_end,return_pct,sharpe,max_dd,win_rate,profit_factor,total_trades
1,1574,1665,2026-02-05 04:30:00+00:00,2026-03-03 09:00:00+00:00,0.0,inf,,,,0
2,3239,1665,2026-03-03 09:15:00+00:00,2026-03-27 10:15:00+00:00,0.0,inf,,,,0
3,4904,1665,2026-03-27 10:30:00+00:00,2026-04-23 12:45:00+00:00,-0.9646391715517165,-5.648335883548732,1.49888454846263,33.33333333333333,0.062158236412860585,3
4,6569,1665,2026-04-23 13:00:00+00:00,2026-05-19 15:00:00+00:00,-0.937159083691713,-3.8332348987338754,1.4506147445165334,25.0,0.44159473770362867,4
5,8234,1665,2026-05-19 15:15:00+00:00,2026-06-12 19:45:00+00:00,2.398745150042414,5.130446725773184,1.5162015986819743,62.5,2.4325013919956606,8
