fold,train_size,test_size,test_start,test_end,return_pct,sharpe,max_dd,win_rate,profit_factor,total_trades
1,8237,8332,2024-10-17 19:00:00+00:00,2025-02-19 15:30:00+00:00,-1.296940900997015,-0.5659058432998603,6.259879763422059,44.0,0.9339816568891681,51
2,16569,8332,2025-02-19 15:45:00+00:00,2025-06-20 10:00:00+00:00,0.35342185879155297,0.8922681696248502,0.8578360396159499,42.857142857142854,1.4530034769232876,7
3,24901,8332,2025-06-20 10:15:00+00:00,2025-10-21 05:00:00+00:00,-0.1337335828425239,-0.2239751813884796,2.205107685434492,30.0,0.9503327231609203,40
4,33233,8332,2025-10-21 05:15:00+00:00,2026-02-23 01:00:00+00:00,0.6066068442425785,3.2403529803483853,0.21505018719292052,77.77777777777779,9.024248704557099,9
5,41565,8332,2026-02-23 01:15:00+00:00,2026-06-23 19:15:00+00:00,0.16724508621564382,0.6495643310420915,0.522381711347624,61.53846153846154,1.3053961954739703,13
